City ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
162,Drumnadrochit,GB,57.3344,-4.4799,48.0,93,90,3.85,overcast clouds
163,Lavrentiya,RU,65.5833,-171.0,31.44,87,85,5.03,overcast clouds
164,Bethel,US,41.3712,-73.414,57.2,41,90,4.61,overcast clouds
165,Pingzhuang,CN,42.0372,119.2889,65.95,12,11,10.11,few clouds
166,Southbridge,US,42.0751,-72.0334,53.6,47,90,4.61,overcast clouds
167,Baft,IR,29.234,56.6057,50.92,45,10,3.67,clear sky
168,Birao,CF,10.2849,22.7882,78.31,14,100,4.92,overcast clouds
169,Itarema,BR,-2.9248,-39.9167,76.23,91,95,8.61,overcast clouds
170,Porto Novo,BJ,6.4965,2.6036,75.2,94,20,4.61,few clouds
171,New Norfolk,AU,-42.7826,147.0587,63.0,72,100,3.0,overcast clouds
172,Virginia Beach,US,36.8529,-75.978,59.0,71,40,6.91,scattered clouds
173,Muroto,JP,33.2833,134.15,57.2,54,0,3.44,clear sky
174,Puerto Escondido,MX,15.85,-97.0667,82.4,78,1,8.05,clear sky
175,Derzhavinsk,KZ,51.1,66.3167,29.23,61,8,20.51,clear sky
176,Chifeng,CN,42.2683,118.9636,64.17,13,95,6.15,overcast clouds
177,Mahebourg,MU,-20.4081,57.7,78.8,83,40,11.5,light rain
178,Cidreira,BR,-30.1811,-50.2056,70.39,72,2,10.76,clear sky
179,Hailar,CN,49.2,119.7,33.4,29,0,15.01,clear sky
180,Abha,SA,18.2164,42.5053,62.6,20,0,6.91,clear sky
181,Buala,SB,-8.145,159.5921,85.33,69,78,4.59,light rain
182,Shigony,RU,53.3875,48.6777,41.83,70,100,13.4,light rain
183,Clyde River,CA,70.4692,-68.5914,5.0,85,90,13.8,overcast clouds
184,Vrangel,RU,42.7297,133.0839,47.46,61,0,12.24,clear sky
185,Trairi,BR,-3.2778,-39.2689,75.47,93,98,6.71,overcast clouds
186,Qianguo,CN,45.1171,124.8568,60.66,24,58,13.35,broken clouds
187,Madisonville,US,37.3281,-87.4989,59.0,51,90,3.44,moderate rain
