City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Esperance,AU,2021-04-17 15:15:57,-33.8667,121.9,55.4,82,65,8.05
128,Navalgund,IN,2021-04-17 15:11:20,15.5667,75.3667,89.17,36,43,16.78
129,Port Elizabeth,ZA,2021-04-17 15:12:05,-33.918,25.5701,68.0,68,0,13.8
130,Vardo,NO,2021-04-17 15:15:57,70.3705,31.1107,33.8,93,75,9.22
131,Brownsville,US,2021-04-17 15:12:26,25.9018,-97.4975,68.0,83,90,14.97
132,Sandakan,MY,2021-04-17 15:15:58,5.8402,118.1179,82.4,74,20,6.91
133,Mustasaari,FI,2021-04-17 15:15:58,63.1142,21.6822,55.4,38,0,11.5
134,Luderitz,NA,2021-04-17 15:15:59,-26.6481,15.1594,83.8,36,32,11.43
135,Denia,ES,2021-04-17 15:15:59,38.8408,0.1057,59.0,54,41,7.0
136,Zyryanka,RU,2021-04-17 15:15:59,65.75,150.85,22.8,75,13,15.66
137,Leningradskiy,RU,2021-04-17 15:15:59,69.3833,178.4167,23.72,94,100,5.73
138,Mana,GF,2021-04-17 15:16:00,5.6592,-53.7767,83.21,71,62,12.28
139,Ginir,ET,2021-04-17 15:16:00,7.1333,40.7,63.72,75,72,7.31
140,Lakes Entrance,AU,2021-04-17 15:16:00,-37.8811,147.981,53.01,76,30,8.59
141,Port Blair,IN,2021-04-17 15:16:01,11.6667,92.75,81.88,71,8,3.76
142,Saint-Augustin,CA,2021-04-17 15:16:01,51.226,-58.6502,34.81,60,2,14.72
143,Oktyabrskoye,RU,2021-04-17 15:16:01,43.0645,44.7417,53.6,82,75,11.18
144,Belle Fourche,US,2021-04-17 15:16:02,44.6714,-103.8522,39.2,70,20,6.91
145,Castro,BR,2021-04-17 15:16:02,-24.7911,-50.0119,68.18,76,97,2.98
146,Boueni,YT,2021-04-17 15:16:02,-12.9025,45.0761,84.2,74,75,14.97
147,Vila Do Maio,CV,2021-04-17 15:16:02,15.1333,-23.2167,77.0,57,20,21.85
148,Ahipara,NZ,2021-04-17 15:16:03,-35.1667,173.1667,57.92,74,80,7.23
