City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Sakakah,SA,73.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
225,Lagoa,PT,60.67,overcast clouds,39.05,-27.9833,Casa Das Faias
226,Port Macquarie,AU,71.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
227,Emmauss,RU,40.08,broken clouds,56.7805,36.115,Emmausskii Dvorik
228,Puerto Lleras,CO,72.97,overcast clouds,3.0223,-73.4044,
230,Esperance,AU,59.0,broken clouds,-33.8667,121.9,Hospitality Esperance
231,Mar Del Plata,AR,66.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
232,Victoria,HK,72.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
234,Bereda,ES,53.01,overcast clouds,43.2686,-7.5406,Pazo de Verdes
235,Rapid Valley,US,50.0,scattered clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
236,College,US,62.6,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
238,Sobolevo,RU,41.32,overcast clouds,54.4299,31.8996,
240,Pervomayskaya,RU,50.0,clear sky,43.4033,45.5261,Sotyy
241,Lewistown,US,55.4,few clouds,40.5992,-77.5714,Quality Inn & Suites
246,Myskhako,RU,51.8,mist,44.6714,37.7433,Myskhako Hotel
248,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
250,Tullamore,IE,45.0,overcast clouds,53.2739,-7.4889,Bridge House Hotel
251,Sorland,NO,43.83,clear sky,67.667,12.6934,Sjybrygga fiskecamp
252,Ambovombe,MG,63.54,clear sky,-25.1667,46.0833,RELAHARA
255,Marzuq,YE,68.58,overcast clouds,14.4,46.4667,
256,Riyadh,SA,77.0,clear sky,24.6877,46.7219,InterContinental Riyadh
257,Ziro,IN,48.85,overcast clouds,27.6333,93.8333,Ka-ngam homestay
258,Kunming,CN,66.0,scattered clouds,25.0389,102.7183,Green Land Hotel
259,Ordu,TR,62.6,light rain,40.9086,37.6845,Orencik Koyu Muhtarligi
260,Port Augusta,AU,64.4,clear sky,-32.5,137.7667,Majestic Oasis Apartments
261,Dunedin,NZ,63.3,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
263,Mitchell,US,48.2,few clouds,43.7094,-98.0298,Kelly Inn & Suites
264,Biarritz,FR,44.6,clear sky,43.4801,-1.5556,Hôtel de l'ocean
265,Amapa,BR,70.97,overcast clouds,1.0,-52.0,
266,Linjiang,CN,58.59,few clouds,41.8069,126.9078,格林豪泰
267,Bengkulu,ID,77.29,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
271,Rantepao,ID,76.5,broken clouds,-2.9701,119.8978,Hotel Luta Resort
272,Kyzyl,RU,44.8,clear sky,51.7,94.45,"The hotel complex ""Buyan-Badyrgy"""
273,Edinburg,GB,46.99,clear sky,55.9521,-3.1965,InterContinental Edinburgh the George
274,Wuwei,CN,54.9,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
276,Pisco,PE,66.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
277,Sambava,MG,76.15,light rain,-14.2667,50.1667,Melrose
279,Sussex,US,55.4,overcast clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
280,Lompoc,US,61.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
281,Murray Bridge,AU,62.01,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
284,Pingxiang,CN,57.22,overcast clouds,27.6167,113.85,Haiyuntian Hotel
285,Maku,IR,55.4,overcast clouds,39.2911,44.4521,Maku Tourist Hotel
286,Kitob,UZ,57.2,few clouds,39.0843,66.8332,KESH HOTEL
287,Roma,US,51.8,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
288,Tamiahua,MX,68.27,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
291,Hamilton,US,57.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
292,Vilhena,BR,73.4,few clouds,-12.7406,-60.1458,Hotel Mirage
293,Heinola,FI,41.0,clear sky,61.2056,26.0381,Hotelli Valo
294,Klaksvik,FO,41.0,broken clouds,62.2266,-6.589,Airbnb rooms
297,Ancud,CL,55.4,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
300,Beidao,CN,46.99,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
301,Mantua,IT,46.99,overcast clouds,45.1667,10.7833,Hotel la Favorita
302,Tuatapere,NZ,63.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
303,Saldanha,ZA,64.4,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
304,Sibut,CF,71.78,overcast clouds,5.718,19.0739,
305,Benguela,AO,79.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
306,Katsuura,JP,62.6,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
309,San Rafael,AR,74.17,broken clouds,-34.6177,-68.3301,Hotel San Rafael
310,Birjand,IR,51.8,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
312,Ilorin,NG,78.91,overcast clouds,8.5,4.55,Ayala Suite Annex
314,Pimenta Bueno,BR,72.82,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
315,Ketchikan,US,71.6,clear sky,55.3422,-131.6461,Snows Cove Lodge
317,Auning,DK,43.0,few clouds,56.4308,10.3782,Anni Dahlstrup Jensen
318,Bud,US,55.0,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
319,Macon,US,57.99,broken clouds,39.8667,-88.9668,Haworth Cottage
320,Nouadhibou,MR,66.2,clear sky,20.931,-17.0347,El Medina
322,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
323,Vostok,RU,45.43,overcast clouds,46.4856,135.8833,
324,Almeirim,BR,72.23,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
326,Nautla,MX,69.71,overcast clouds,20.2167,-96.7833,Casa Blanca
327,La Tuque,CA,48.2,overcast clouds,47.4334,-72.7824,Gîte aux Trois Pignons
328,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
329,Bandar-E Lengeh,IR,69.8,clear sky,26.5579,54.8807,کافی نت پارس
331,Lockport,US,60.8,scattered clouds,41.5895,-88.0578,Big Run Wolf Ranch
332,Wattegama,LK,73.4,few clouds,6.7989,81.4808,
333,Saint-Joseph,RE,75.2,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
334,Balogo,PH,77.65,overcast clouds,10.8868,124.7105,LGS Scandinavia Resort
337,Sao Joao Da Barra,BR,74.59,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
338,Sopur,IN,45.14,clear sky,34.3,74.4667,Aamir Hassan Lone
339,Yichang,CN,63.18,few clouds,30.7144,111.2847,Gezhouba Hotel
340,Sayat,TM,59.0,clear sky,38.7839,63.8803,
341,Bassila,BJ,75.2,clear sky,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
342,Marrakesh,MA,64.4,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
343,Sumbe,AO,79.9,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
344,Rawson,AR,66.43,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
346,Rosetta,EG,71.6,clear sky,31.4044,30.4164,Green Valley
347,Rabo De Peixe,PT,57.2,few clouds,37.8,-25.5833,Quinta das Giestas
348,Krechevitsy,RU,41.27,broken clouds,58.617,31.401,"Gostevoy Dom ""Volkhov"""
351,Broome,US,50.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
352,Marsh Harbour,BS,78.22,clear sky,26.5412,-77.0636,Abaco Beach Resort
353,Nishihara,JP,68.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
355,Shimoda,JP,62.6,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
359,Vredefort,ZA,54.09,clear sky,-27.0081,27.3646,Crow's Nest
366,Jatai,BR,68.79,clear sky,-17.8814,-51.7144,La Vitre Hotel
367,Iquique,CL,66.2,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
368,Jiancheng,CN,55.0,overcast clouds,30.391,104.5491,Jianyang Celebrity City Hotel
370,Huadian,CN,60.93,scattered clouds,42.9633,126.7478,Huadian Forestry Bureau
371,Juegang,CN,63.0,clear sky,32.3174,121.1855,Rudong Y Hotel
372,Carauari,BR,72.3,overcast clouds,-4.8828,-66.8958,Hotel Fellip
373,Casper,US,57.2,scattered clouds,42.8666,-106.3131,Ramkota Hotel
376,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
377,Grand Gaube,MU,78.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
378,Saint Anthony,US,48.2,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
379,Juxtlahuaca,MX,74.79,clear sky,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
380,Bell Ville,AR,71.01,clear sky,-32.6259,-62.6887,Hotel Central
382,Mirabad,AF,74.79,overcast clouds,30.4362,61.8383,
383,Pacific Grove,US,68.0,clear sky,36.6177,-121.9166,Lovers Point Inn
384,Plavsk,RU,41.56,broken clouds,53.7094,37.2919,HOSTELPLAVSK
385,Lalibela,ET,58.32,light rain,12.0333,39.0333,Honey Land Hotel Lalibela
386,Codrington,AU,62.8,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
387,Korla,CN,61.57,overcast clouds,41.7597,86.1469,Gulisitan Hotel
388,Saint-Pierre,RE,73.4,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
389,Gracac,HR,46.99,clear sky,44.3006,15.8547,"Apartment ""ANA"""
391,Anshan,CN,67.21,clear sky,41.1236,122.99,Ibis Anshan Shengli Square
394,Talakan,RU,50.97,clear sky,50.3167,130.3667,
397,Naze,JP,68.0,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
399,Geraldton,AU,62.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
405,Kalmunai,LK,79.07,overcast clouds,7.4167,81.8167,VS Villa
406,Ahipara,NZ,65.84,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
408,Manono,CD,68.18,overcast clouds,-7.3,27.4167,Hotel hewa bora
409,Omboue,GA,78.66,light rain,-1.5746,9.2618,Hotel Olako
410,Yarmouth,US,51.8,overcast clouds,41.7057,-70.2286,Blue Rock Resort
411,Coburg,DE,44.01,overcast clouds,50.2667,10.9667,Vienna House Easy Coburg
412,Greenville,US,66.2,clear sky,35.6127,-77.3663,the 5th Street Inn
415,Chabahar,IR,79.7,overcast clouds,25.2919,60.643,هتل گدروشیا
416,Maues,BR,71.91,overcast clouds,-3.3836,-57.7186,Hotel Miramar
417,Gambela,ET,79.14,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
420,Along,IN,63.93,overcast clouds,28.1667,94.7667,Hotel West
422,Calahorra,ES,46.99,clear sky,42.3051,-1.9652,Parador de Calahorra
423,Lazaro Cardenas,MX,77.07,clear sky,17.9583,-102.2,Hotel Quinta Antigua
424,Isiro,CD,68.29,light rain,2.7739,27.616,Guest House Hewa Bora
425,Hyeres,FR,46.4,clear sky,43.1167,6.1167,Hôtel des Palmiers
426,Pandan,PH,78.28,moderate rain,14.0453,124.1694,Bonifacio Lodge
427,Khiv,RU,53.15,overcast clouds,41.7543,47.9306,Four Seasons
430,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
431,Yining,CN,60.44,overcast clouds,29.0361,114.5636,Xiushui Hotel
433,Awjilah,LY,76.05,overcast clouds,29.1081,21.2869,
